Class,Label,Devanagari label,Phonetic,Type
0,0,‡•¶,≈ö≈´n'ya,DIGIT
1,1,‡•ß,ƒìka,DIGIT
2,2,‡•®,du'ƒ´,DIGIT
3,3,‡•©,tƒ´na,DIGIT
4,4,‡•™,cƒÅra,DIGIT
5,5,‡•´,pƒÅmÃêca,DIGIT
6,6,‡•¨,cha,DIGIT
7,7,‡•≠,sƒÅta,DIGIT
8,8,‡•Æ,ƒÅ·π≠ha,DIGIT
9,9,‡•Ø,nau,DIGIT
10,ka,‡§ï,ka,CONSONANT
11,kha,‡§ñ,kha,CONSONANT
12,ga,‡§ó,ga,CONSONANT
13,gha,‡§ò,gha,CONSONANT
14,kna,‡§ô,·πÖa,CONSONANT
15,cha,‡§ö,ca,CONSONANT
16,chha,‡§õ,cha,CONSONANT
17,ja,‡§ú,ja,CONSONANT
18,jha,‡§ù,jha,CONSONANT
19,yna,‡§û,√±a,CONSONANT
20,ta,‡§ü,·π≠a,CONSONANT
21,tha,‡§†,·π≠ha,CONSONANT
22,da,‡§°,·∏ça,CONSONANT
23,dha,‡§¢,·∏çha,CONSONANT
24,ana,‡§£,·πáa,CONSONANT
25,taa,‡§§,ta,CONSONANT
26,thaa,‡§•,tha,CONSONANT
27,daa,‡§¶,da,CONSONANT
28,dhaa,‡§ß,dha,CONSONANT
29,na,‡§®,na,CONSONANT
30,pa,‡§™,pa,CONSONANT
31,pha,‡§´,pha,CONSONANT
32,ba,‡§¨,ba,CONSONANT
33,bha,‡§≠,bha,CONSONANT
34,ma,‡§Æ,ma,CONSONANT
35,ya,‡§Ø,ya,CONSONANT
36,ra,‡§∞,ra,CONSONANT
37,la,‡§≤,la,CONSONANT
38,va,‡§µ,va,CONSONANT
39,motosaw,‡§∂,≈õa,CONSONANT
40,petchiryosaw,‡§∑,·π£a,CONSONANT
41,patalosaw,‡§∏,sa,CONSONANT
42,ha,‡§π,ha,CONSONANT
43,ksha,‡§ï‡•ç‡§∑,k·π£a,CONSONANT
44,tra,‡§§‡•ç‡§∞,tra,CONSONANT
45,gya,‡§ú‡•ç‡§û,j√±a,CONSONANT
!,Exclamation mark,,,
(,open bracket,,,
),close bracket,,,
+,plus,,,
",",coma,,,
-,hyphen,,,
01,one,,,
02,two,,,
03,three,,,
04,four,,,
05,five,,,
06,six,,,
07,seven,,,
08,eight,,,
09,nine,,,
=,equal,,,
A,,,vowel,
C,,,consonants,
Delta,"uppercase _, lowercase _ or __",,,
G,,,consonants,
H,,,consonants,
M,,,consonants,
N,,,consonants,
R,,,consonants,
S,,,consonants,
T,,,consonants,
X,,,consonants,
[,,,,
],,,,
alpha,,,,
ascii_124,,,,
b,,,consonants,
beta,,,,
cos,,,,
d,,,consonants,
div,,,,
e,,,vowel,
exists,,,,
f,,,consonants,
forall,,,,
forward_slash,,,,
gamma,,,,
geq,,,,
gt,,,,
i,,,vowel,
in,,,,
infty,,,,
int,,,,
j,,,consonants,
k,,,consonants,
l,,,consonants,
lambda,,,,
ldots,,,,
leq,,,,
lim,,,,
log,,,,
lt,,,,
mu,,,,
neq,,,,
o,,,vowel,
p,,,consonants,
phi,,,,
pi,,,,
pm,,,,
prime,,,,
q,,,consonants,
rightarrow,,,,
sigma,,,,
sin,,,,
sqrt,,,,
sum,,,,
tan,,,,
theta,,,,
times,,,,
u,,,vowel,
v,,,consonants,
w,,,consonants,
y,,,consonants,
z,,,consonants,
{,,,,
},,,,
_,nh,,Sanskrit influence,
_,h,,Sanskrit influence,
_,ô,-,vowel,
_,a,_,vowel,
_,i,_,vowel,
_,_/ee,_,vowel,
_,u,__,vowel,
_,_/oo,_,vowel,
_,_/ri,_,vowel,
_,e,_,complex vowel,
_,oi,_,complex vowel,
_,o,_,complex vowel,
_,ou,_,complex vowel,
_,kô,,consonants,
_,khô,,consonants,
_,gô,,consonants,
_,ghô,,consonants,
_,ngô,,consonants,
_,chô,,consonants,
_,chhô,,consonants,
_,_ô,,consonants,
_,_hô,,consonants,
_,ñô,,consonants,
_,_ô,,consonants,
_,_hô,,consonants,
_,_ô,,consonants,
__,_ô,,consonants,
_,_hô,,consonants,
__,_hô,,consonants,
_,_ô,,consonants,
_,tô,,consonants,
_,thô,,consonants,
_,dô,,consonants,
_,dhô,,consonants,
_,nô,,consonants,
_,pô,,consonants,
_,phô/fô,,consonants,
_,bô,,consonants,
_,bhô,,consonants,
_,mô,,consonants,
_,jô,,consonants,
__,yô,,consonants,
_,rô,,consonants,
_,lô,,consonants,
_,shô,,consonants,
_,_ô,,consonants,
_,sô/shô,,consonants,
_,hô,,consonants,
_,t,khôndô tô,Sanskrit influence,
_,1,one,numerals,
_,2,two,numerals,
_,3,three,numerals,
_,4,four,numerals,
_,5,five,numerals,
_,6,six,numerals,
_,7,seven,numerals,
_,8,eight,numerals,
_,9,nine,numerals,
__,ñ,chôndrôbindu,Sanskrit influence,
