Class,Label,Devanagari label,Phonetic,Type
0,zero,Digit,,
01,one,Digit,,
02,two,Digit,,
03,three,Digit,,
04,four,Digit,,
05,five,Digit,,
06,six,Digit,,
07,seven,Digit,,
08,eight,Digit,,
09,nine,Digit,,
A,vowels,Character,,
b,consonant,Character,,
C,consonant,Character,,
d,consonant,Character,,
e,vowels,Character,,
f,consonant,Character,,
G,consonant,Character,,
H,consonant,Character,,
i,vowels,Character,,
j,consonant,Character,,
k,consonant,Character,,
l,consonant,Character,,
M,consonant,Character,,
N,consonant,Character,,
o,vowels,Character,,
p,consonant,Character,,
q,consonant,Character,,
R,consonant,Character,,
S,consonant,Character,,
T,consonant,Character,,
u,vowels,Character,,
v,consonant,Character,,
w,consonant,Character,,
X,consonant,Character,,
y,consonant,Character,,
z,consonant,Character,,
