Class,Label,Devanagari label,Phonetic,Type
!,,Symbol,,
(,,Symbol,,
),,Symbol,,
+,,Symbol,,
",",,Symbol,,
-,,Symbol,,
=,,Symbol,,
Delta,,Symbol,,
[,,Symbol,,
],,Symbol,,
alpha,,Symbol,,
ascii_124,,Symbol,,
beta,,Symbol,,
cos,,Symbol,,
div,,Symbol,,
exists,,Symbol,,
forall,,Symbol,,
forward_slash,,Symbol,,
gamma,,Symbol,,
geq,,Symbol,,
gt,,Symbol,,
in,,Symbol,,
infty,,Symbol,,
int,,Symbol,,
lambda,,Symbol,,
ldots,,Symbol,,
leq,,Symbol,,
lim,,Symbol,,
log,,Symbol,,
lt,,Symbol,,
mu,,Symbol,,
neq,,Symbol,,
phi,,Symbol,,
pi,,Symbol,,
pm,,Symbol,,
prime,,Symbol,,
rightarrow,,Symbol,,
sigma,,Symbol,,
sin,,Symbol,,
sqrt,,Symbol,,
sum,,Symbol,,
tan,,Symbol,,
theta,,Symbol,,
times,,Symbol,,
{,,Symbol,,
},,Symbol,,
